year,mergecode,districtcode,black,hispanic,white,lowincome,droprate,totalenroll,charter,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,state,year_21
19,631-0115georgia,631georgia,66.0,27.0,1.0,93.0,6.1,1820,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
21,631-0115georgia,631georgia,63.0,31.0,1.0,93.0,2.6,1692,0,130123000000.0,0.0,1.0,0.0,1.0,georgia,1
17,631-0190georgia,631georgia,79.0,14.0,2.0,99.0,4.9,2184,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
18,631-0190georgia,631georgia,80.0,14.0,2.0,100.0,3.7,2054,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
19,631-0190georgia,631georgia,81.0,13.0,2.0,93.0,4.7,2043,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
21,631-0190georgia,631georgia,81.0,13.0,2.0,93.0,1.5,2000,0,130123000000.0,0.0,1.0,0.0,1.0,georgia,1
17,631-0290georgia,631georgia,71.0,20.0,2.0,99.0,4.9,1592,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
18,631-0290georgia,631georgia,72.0,19.0,2.0,100.0,3.3,1485,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
19,631-0290georgia,631georgia,70.0,21.0,2.0,93.0,2.5,1520,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
21,631-0290georgia,631georgia,71.0,21.0,2.0,93.0,4.3,1419,0,130123000000.0,0.0,1.0,0.0,1.0,georgia,1
17,631-0377georgia,631georgia,80.0,14.0,1.0,99.0,4.6,1522,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
18,631-0377georgia,631georgia,79.0,15.0,0.0,100.0,5.4,1444,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
19,631-0377georgia,631georgia,80.0,15.0,1.0,93.0,3.6,1389,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
21,631-0377georgia,631georgia,77.0,18.0,1.0,93.0,2.4,1417,0,130123000000.0,0.0,1.0,0.0,1.0,georgia,1
17,631-1054georgia,631georgia,44.0,42.0,4.0,100.0,9.7,2072,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
18,631-1054georgia,631georgia,42.0,45.0,3.0,99.0,6.4,1906,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
19,631-1054georgia,631georgia,42.0,44.0,3.0,93.0,6.5,1877,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
21,631-1054georgia,631georgia,42.0,46.0,3.0,93.0,3.6,1861,0,130123000000.0,0.0,1.0,0.0,1.0,georgia,1
17,631-1056georgia,631georgia,70.0,20.0,3.0,99.0,5.1,1529,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
18,631-1056georgia,631georgia,69.0,21.0,3.0,99.0,4.6,1478,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
19,631-1056georgia,631georgia,68.0,22.0,3.0,93.0,6.2,1548,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
21,631-1056georgia,631georgia,67.0,23.0,3.0,93.0,3.8,1474,0,130123000000.0,0.0,1.0,0.0,1.0,georgia,1
17,631-2052georgia,631georgia,89.0,6.0,1.0,100.0,6.3,1063,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
18,631-2052georgia,631georgia,89.0,7.0,0.0,99.0,5.3,1377,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
19,631-2052georgia,631georgia,88.0,8.0,0.0,93.0,4.4,1386,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
21,631-2052georgia,631georgia,86.0,11.0,0.0,93.0,4.7,1255,0,130123000000.0,0.0,1.0,0.0,1.0,georgia,1
