year,mergecode,districtcode,black,hispanic,white,totalenroll,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,state,year_21
19,78965-79178arizona,78965arizona,42.47,44.62,5.91,186,98.0,5.29,40022702017,0.0,0.0,1.0,0.0,1,arizona,0
21,78965-79178arizona,78965arizona,30.41,59.06,0.0,171,98.0,6.04,40022702017,0.4,0.6,0.0,0.8,1,arizona,1
17,79876-10749arizona,79876arizona,7.95,79.51,6.42,327,83.0,28.03,40038601894,0.0,0.0,1.0,0.0,1,arizona,0
18,79876-10749arizona,79876arizona,10.59,78.5,5.92,321,83.0,29.21,40038601894,0.0,0.0,1.0,0.0,1,arizona,0
19,79876-10749arizona,79876arizona,11.78,79.12,5.39,297,83.0,25.88,40038601894,0.0,0.0,1.0,0.0,1,arizona,0
21,79876-10749arizona,79876arizona,13.86,76.73,5.45,202,83.0,31.85,40038601894,0.22,0.78,0.0,0.89,1,arizona,1
17,79878-6349arizona,79878arizona,0.0,77.36,0.0,53,95.0,25.19,40038701735,0.0,0.0,1.0,0.0,1,arizona,0
18,79878-6349arizona,79878arizona,0.0,80.6,0.0,67,95.0,33.33,40038701735,0.0,0.0,1.0,0.0,1,arizona,0
19,79878-6349arizona,79878arizona,0.0,77.78,0.0,63,98.0,24.39,40038701735,0.0,0.0,1.0,0.0,1,arizona,0
21,79878-6349arizona,79878arizona,0.0,76.92,0.0,52,98.0,30.58,40038701735,0.3,0.7,0.0,0.85,1,arizona,1
17,4396-5641arizona,4396arizona,0.0,0.0,0.0,503,87.0,2.7,40406001161,0.0,0.0,1.0,0.0,0,arizona,0
18,4396-5641arizona,4396arizona,0.0,0.0,0.0,526,87.0,3.79,40406001161,0.0,0.0,1.0,0.0,0,arizona,0
19,4396-5641arizona,4396arizona,0.0,0.0,0.0,515,87.0,4.21,40406001161,0.0,0.0,1.0,0.0,0,arizona,0
21,4396-5641arizona,4396arizona,0.0,2.33,0.0,472,83.0,6.79,40406001161,0.0,1.0,0.0,1.0,0,arizona,1
