,drop_hispanic_virtualper_inf
633,0.0014061746857496281
634,-0.0018361370200007388
635,0.0006515032189705884
636,0.0020321939255242556
637,-0.0006185490401489066
638,-0.005105485766364836
639,-0.0058941878380155376
640,0.017494200636335718
641,-0.0037274907870844766
642,-0.024328132603183436
643,-0.02786934102692886
644,-0.004200298596569206
645,-0.005026860674293301
646,0.007210996383050297
647,-0.012206697263187601
648,-1.949209752279733e-05
649,0.0012580943936760598
650,-0.0034367445119053777
651,-0.004997684631968254
652,0.0022031634512447635
653,0.000696718643880497
654,-0.0012738661685895007
655,0.005573089263750246
656,-8.582431730811078e-06
657,-0.00013849657691124208
658,-0.0001407069727957106
659,-8.995743811732662e-05
660,-0.00016562275161231227
661,0.0005174028976935635
662,0.00021405049282389758
663,0.0024466870206270625
664,0.00041352060679333705
665,0.001212994293651926
666,-0.0009885360922530376
667,0.0026565499613793848
668,0.00019658066838480745
669,1.9018488017152202e-05
670,-9.668782278232926e-06
671,0.000606207039124935
672,0.00010027706493415044
673,-0.0007221309103579996
674,0.0001506255920420836
675,-0.0021439639936502667
676,0.00022543898866494714
677,0.0010882256682221505
678,0.0013564348530929003
679,0.008447359117090662
680,0.0001604303491664362
681,1.1995996901294178e-05
682,-0.00014219024195748486
683,-5.830316241431156e-05
684,-1.942066895615605e-05
685,8.824590065596628e-05
686,-0.00013001420853496384
687,-0.0002213646726210937
688,0.00010551579454571342
689,0.00027266229074132816
690,-0.00030074292901067015
691,-8.621333071922255e-05
692,-0.00018247019722539076
