,mathpass_hybridper_inf
612,0.00014353720368584172
613,0.0002873815323085864
614,-0.00010352974340932193
615,0.0007268565279436458
616,0.0007127143300294558
617,0.00794914857872017
618,-0.009532426187097263
619,-0.0021404254935289105
620,0.0013062201127501272
621,-0.004415371483788784
622,0.0016932711562273634
623,-0.004655545922312043
624,-0.0025016650724932745
625,0.001787915326321553
626,-0.0016011497707175025
627,-0.00803484125277563
628,0.0026171741328535254
629,0.0031967585971983694
630,-0.006183397006388096
631,0.0037351566293858944
632,0.0008538450889345299
633,0.00029582709094708875
634,-0.001029430233556823
635,0.0007822106707306576
636,0.0003600746084484263
637,0.000134136926852772
638,0.0014146524924283001
639,0.0010171342391056442
640,-2.2325606729841468e-05
641,-9.781869913567418e-06
642,-0.0012085247431343205
643,-0.0005700897883311703
644,-0.00018678492498335974
645,0.0005184754255577341
646,-0.0011802068728273703
647,-0.003238943405102122
648,-0.004242767340930103
649,-0.00025726945596060333
650,0.003871470183852319
651,-0.002153692324907029
652,-0.0010935195350381724
653,0.0014488880558323352
654,-9.396796095548358e-05
655,0.0009640710673260754
656,-0.0010605551951744787
657,0.001434916580481323
658,2.3779485727883717e-05
659,0.0009352415758919659
660,-0.0018934258903821435
661,-0.001746520230845906
662,0.0008138310246744428
663,-0.007779355178577125
664,-0.003687445068343894
665,-0.002400325541508315
666,0.0013908117141306262
667,-0.01480502248774826
668,0.0005363415819722563
669,-0.0012856883213390048
670,0.0004923660908291866
671,-0.001259166931072215
672,0.002149784609541233
673,-0.002390213236305172
674,0.0012777201966762167
675,0.003261821586074804
676,-3.2824547626826904e-05
677,-0.0007111640130148412
678,-4.0506691069676515e-05
