year,mergecode,lowincome
17,1420-3624,59.7
17,1420-3628,28.2
17,1420-3726,32.9
17,1420-4190,23.9
17,1420-4402,14.0
17,1420-4404,5.5
17,1420-4408,34.5
17,1420-4410,11.6
17,1420-4422,90.1
17,1420-4478,38.0
17,1420-4548,19.6
17,1420-4549,35.7
17,1420-4550,34.6
17,1420-4798,83.8
17,1420-4802,80.5
17,1420-4830,11.9
17,1420-4942,35.6
17,1420-5004,80.8
17,1420-5024,74.2
17,1420-5036,24.4
17,1420-5145,21.5
17,1420-5222,65.4
17,1420-5350,32.5
17,1420-5354,89.2
17,1420-5415,47.5
17,1420-5454,36.6
17,1420-5472,7.4
17,1420-5524,15.9
17,1420-5580,6.6
17,1420-5623,42.3
17,1420-5892,39.7
17,1420-5944,14.8
17,1420-5972,95.5
17,1420-5994,8.8
17,1420-6090,49.4
17,1420-6133,29.7
17,1420-6135,22.3
17,1420-6139,16.9
17,1420-6237,85.8
17,1420-6286,14.7
17,1420-6330,56.3
17,1420-6470,24.1
17,1420-6539,35.2
17,1420-6541,32.1
17,1420-6804,10.7
17,1420-6806,69.8
17,1420-6808,52.9
17,1420-6828,57.8
17,1420-6844,32.0
17,1420-6848,89.1
17,1420-7078,84.5
17,1420-7114,41.5
17,1420-7128,18.5
17,1420-7190,22.9
17,1420-7239,8.3
17,1420-7282,6.8
17,1420-7483,9.6
17,1420-7529,24.1
17,1420-7701,27.0
17,1420-7708,71.2
17,1420-7753,44.5
17,1420-7780,10.8
17,1420-7833,39.3
17,1420-7870,14.4
17,1420-7962,79.5
17,1420-8036,48.2
17,1420-8090,84.0
17,1420-8102,52.9
17,1420-8209,29.4
17,1420-8223,81.8
17,1420-8248,91.9
17,1420-8276,31.4
17,1420-8280,25.3
17,1420-8300,28.5
17,1420-8381,22.1
17,1420-8432,65.9
17,1420-8793,15.0
17,1420-8834,70.9
17,1420-9008,10.5
17,1420-9052,17.0
17,1420-9058,29.2
17,1420-9154,71.5
17,1420-9232,35.4
17,1420-9299,24.7
17,1420-9328,37.5
17,1420-9342,64.2
17,1420-9412,64.0
17,1420-9424,21.6
17,1420-9428,14.9
17,1420-9429,4.4
17,1420-9432,5.0
17,1420-9490,19.2
17,1420-9510,48.5
17,1420-9638,63.5
17,1420-9648,13.6
17,1420-9678,42.1
17,1430-2328,41.3
17,1430-2336,38.0
17,1440-6992,62.1
17,1440-7009,58.6
17,1450-2960,55.5
17,1460-7746,52.2
17,1480-8342,58.8
17,1480-8351,65.7
17,1480-8354,41.5
17,1490-842,78.8
17,1500-1144,65.1
17,1500-1150,63.5
17,1500-1152,43.6
17,1510-4901,73.2
17,1510-4904,63.9
17,1510-9486,65.4
17,1520-225,47.5
17,1520-1526,47.7
17,1520-2318,21.4
17,1520-3012,46.3
17,1520-3050,57.8
17,1520-3571,53.8
17,1520-5888,29.0
17,1520-6222,35.2
17,1520-6738,42.9
17,1520-7402,19.8
17,1520-7994,36.7
17,1520-8388,40.6
17,1530-632,27.2
17,1530-636,32.2
17,1530-640,20.3
17,1540-4252,61.7
17,1540-4254,61.8
17,1540-4258,48.1
17,1550-146,7.9
17,1550-477,5.3
17,1550-490,17.9
17,1550-498,2.9
17,1550-612,63.0
17,1550-678,51.2
17,1550-766,32.7
17,1550-892,37.7
17,1550-898,39.2
17,1550-1186,36.7
17,1550-1190,34.0
17,1550-2298,24.4
17,1550-3046,32.8
17,1550-3105,9.8
17,1550-3760,58.6
17,1550-3787,56.9
17,1550-4282,82.2
17,1550-4456,23.4
17,1550-4698,9.3
17,1550-4793,28.8
17,1550-5014,57.8
17,1550-5068,37.8
17,1550-5120,2.0
17,1550-5168,69.0
17,1550-5196,52.1
17,1550-5292,32.3
17,1550-5688,18.6
17,1550-5917,21.3
17,1550-6476,45.1
17,1550-6482,32.2
17,1550-7043,14.7
17,1550-7104,28.1
17,1550-7124,37.5
17,1550-7127,73.1
17,1550-7161,12.0
17,1550-7198,24.4
17,1550-7218,86.4
17,1550-7290,39.5
17,1550-7325,31.2
17,1550-7350,31.6
