3,ARAPAHOE,130,CHERRY CREEK 5,16,FOX HOLLOW ELEMENTARY SCHOOL,628,81,31,516,112,13%,5%,0.178,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,18,LIBERTY MIDDLE SCHOOL,1139,205,78,856,283,18%,7%,0.248,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,141,SKY VISTA MIDDLE SCHOOL,821,130,65,626,195,16%,8%,0.238,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,242,ANTELOPE RIDGE ELEMENTARY SCHOOL,662,98,32,532,130,15%,5%,0.196,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,243,COYOTE HILLS ELEMENTARY SCHOOL,722,57,19,646,76,8%,3%,0.105,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,348,ARROWHEAD ELEMENTARY SCHOOL,524,187,64,273,251,36%,12%,0.479,25%-50%
3,ARAPAHOE,130,CHERRY CREEK 5,442,ASPEN CROSSING ELEMENTARY SCHOOL,546,94,34,418,128,17%,6%,0.234,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,714,BELLEVIEW ELEMENTARY SCHOOL,606,78,18,510,96,13%,3%,0.158,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,1155,BUFFALO TRAIL ELEMENTARY SCHOOL,709,97,42,570,139,14%,6%,0.196,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,1273,CANYON CREEK ELEMENTARY SCHOOL,532,87,55,390,142,16%,10%,0.267,25%-50%
3,ARAPAHOE,130,CHERRY CREEK 5,1510,CHALLENGE SCHOOL,534,46,18,470,64,9%,3%,0.12,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,1551,CHEROKEE TRAIL HIGH SCHOOL,2950,300,133,2517,433,10%,5%,0.147,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,1566,CAMPUS MIDDLE SCHOOL,1481,165,51,1265,216,11%,3%,0.146,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,1568,WEST MIDDLE SCHOOL,1304,150,37,1117,187,12%,3%,0.143,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,1570,CHERRY CREEK HIGH SCHOOL,3641,347,123,3171,470,10%,3%,0.129,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,1571,CHERRY CREEK CHARTER ACADEMY,546,N/A,N/A,510,36,N/A,N/A,0.066,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,1572,HIGH PLAINS ELEMENTARY SCHOOL,592,76,25,491,101,13%,4%,0.171,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,1574,CHERRY HILLS VILLAGE ELEMENTARY SCHOOL,539,N/A,N/A,523,16,N/A,N/A,0.03,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,1614,CIMARRON ELEMENTARY SCHOOL,501,221,58,222,279,44%,12%,0.557,50%-75%
3,ARAPAHOE,130,CHERRY CREEK 5,1916,COTTONWOOD CREEK ELEMENTARY SCHOOL,636,N/A,N/A,610,26,N/A,N/A,0.041,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,1970,CREEKSIDE ELEMENTARY SCHOOL,645,65,38,542,103,10%,6%,0.16,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,2094,DAKOTA VALLEY ELEMENTARY SCHOOL,562,71,33,458,104,13%,6%,0.185,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,2292,DRY CREEK ELEMENTARY SCHOOL,415,50,21,344,71,12%,5%,0.171,0% - 25%
3,ARAPAHOE,130,CHERRY CREEK 5,2357,EAGLECREST HIGH SCHOOL,2822,606,283,1933,889,22%,10%,0.315,25%-50%
3,ARAPAHOE,130,CHERRY CREEK 5,2428,EASTRIDGE COMMUNITY ELEMENTARY SCHOOL,690,446,74,170,520,65%,11%,0.754,75%-100%
3,ARAPAHOE,130,CHERRY CREEK 5,2653,ENDEAVOR ACADEMY,276,106,17,153,123,38%,6%,0.446,25%-50%
