year,mergecode,lowincome
17,4270-5326,20.0
17,4270-5327,49.0
17,4270-89622,12.0
17,4199-4839,47.0
17,4439-5902,84.0
17,4439-5901,82.0
17,4439-5904,74.0
17,90995-90996,98.0
17,78992-78993,63.0
17,4404-5772,48.0
17,4404-5777,32.0
17,4404-5769,45.0
17,4404-713837,27.0
17,4404-5775,39.0
17,4404-5781,41.0
17,4404-5779,45.0
17,4404-5770,55.0
17,4404-5782,33.0
17,4404-5774,73.0
17,4404-5776,43.0
17,4404-89585,23.0
17,4404-5773,73.0
17,4404-5771,48.0
17,4404-5780,36.0
17,4404-79445,31.0
17,4314-5480,90.0
17,7291-89614,95.0
17,7291-7292,95.0
17,4441-89910,60.0
17,4441-89911,51.0
17,4441-5908,63.0
17,4441-5910,45.0
17,4441-5909,60.0
17,4441-87479,41.0
17,4441-89909,62.0
17,4441-88405,64.0
17,4441-81058,52.0
17,4435-5893,62.0
17,4435-6067,72.0
17,90861-91781,69.0
17,89852-89853,72.0
17,4473-6107,88.0
17,4473-6106,82.0
17,81174-81175,87.0
17,4163-4745,98.0
17,4181-4790,72.0
17,4235-4913,89.0
17,4235-79490,56.0
17,4235-4961,39.0
17,4235-4969,82.0
17,4235-4945,57.0
17,4235-88420,62.0
17,4235-4983,59.0
17,4235-4967,15.0
17,4235-78932,72.0
17,4235-4915,85.0
17,4235-4932,88.0
17,4235-4916,83.0
17,4235-4959,54.0
17,4235-4956,40.0
17,4235-4937,72.0
17,4235-90752,45.0
17,4235-91812,23.0
17,4235-4917,48.0
17,4235-90303,39.0
17,4235-4926,47.0
17,4235-4971,44.0
17,4235-79225,96.0
17,4235-4931,25.0
17,4235-4918,89.0
17,4235-4955,27.0
17,4235-4944,46.0
17,4235-4919,94.0
17,4235-4920,71.0
17,4235-4952,36.0
17,4235-4921,91.0
17,4235-4948,45.0
17,4235-4940,81.0
17,4235-4958,85.0
17,4235-4970,88.0
17,4235-4962,11.0
17,4235-4922,87.0
17,4235-4923,94.0
17,4235-4934,93.0
17,4235-4924,94.0
17,4235-4925,96.0
17,4235-4941,34.0
17,4235-4953,62.0
17,4235-4951,47.0
17,4235-89593,12.0
17,4235-4980,67.0
17,4235-4982,34.0
17,4235-4949,56.0
17,4235-78938,50.0
17,4235-4943,53.0
17,4235-4957,68.0
17,4235-4973,68.0
17,4235-4984,31.0
17,4235-4960,25.0
17,4235-4935,89.0
17,4235-4974,76.0
17,4235-4966,82.0
17,4235-4946,83.0
17,4235-4933,85.0
17,4235-4965,72.0
17,4235-4936,74.0
17,4235-4977,41.0
17,4235-4947,61.0
17,4235-78917,55.0
17,4235-79489,62.0
17,4235-4954,55.0
17,4235-4979,28.0
17,4235-4939,86.0
17,4235-90753,54.0
17,4235-78933,67.0
17,4235-4930,76.0
17,4235-4975,70.0
17,4235-4938,61.0
17,4235-4927,90.0
17,4235-4981,72.0
17,4235-4929,88.0
17,4235-4928,77.0
17,4235-6229,68.0
17,4235-79807,21.0
17,4463-92176,72.0
17,4463-5972,96.0
17,4211-81122,74.0
17,4211-4868,71.0
17,4211-4869,59.0
17,79994-5526,87.0
17,79207-5503,67.0
17,79207-80430,82.0
17,79207-79129,61.0
17,79207-78843,16.0
17,79207-92531,77.0
17,79207-91788,92.0
17,90048-90049,95.0
17,4493-6133,62.0
17,4488-6127,72.0
17,4253-5191,84.5
17,88455-80099,98.0
17,79498-85517,74.0
17,79498-90194,47.0
17,79498-79510,68.0
17,79589-79429,90.0
17,4379-6049,74.0
17,4379-5590,94.0
17,4379-5589,60.0
17,4503-6181,87.0
17,4230-92081,41.0
17,4230-4907,42.0
17,4230-4906,29.0
17,90192-90193,75.0
17,4251-5189,72.0
17,81228-81229,65.0
17,4265-5293,87.0
17,4265-5290,84.0
17,4265-5291,89.0
17,4265-88189,54.5
17,4265-80183,83.0
17,4265-5292,96.0
17,4176-4784,92.0
17,4252-89748,58.0
17,4252-5190,76.0
17,80278-80279,74.5
17,80103-80104,95.0
17,87884-87885,98.0
17,4366-5554,98.0
17,78882-78883,85.0
17,78882-91213,74.5
17,10760-10800,37.0
17,92374-92345,51.0
17,4457-5958,92.0
17,4457-5960,85.0
17,4457-5954,75.0
17,4457-5955,63.0
17,4457-5957,94.0
17,4457-5959,94.0
17,4457-5962,69.0
17,4457-5961,87.0
17,4457-6071,78.0
17,4457-5956,94.0
17,79701-79702,57.0
17,79881-79899,96.0
17,80105-80108,80.0
17,80105-80109,80.0
17,79503-79505,85.0
17,4444-5927,64.0
17,4262-5278,82.0
17,4262-5279,85.0
17,4262-5282,94.0
17,4262-6021,64.5
17,4262-5280,86.0
17,4262-5281,96.0
17,80120-80121,75.0
17,92564-90000,36.0
17,4373-5578,80.0
17,6235-87413,83.0
17,4196-4829,62.0
17,4196-4830,65.0
17,4196-92913,54.5
17,4196-4832,48.0
17,4196-4831,56.0
17,4196-81127,77.0
17,79086-79090,67.0
17,4275-5355,76.0
17,4255-5193,82.0
17,4180-4789,43.0
17,4180-4788,60.0
17,4180-78914,42.0
17,79578-79579,97.0
17,4241-5096,80.0
17,4241-5073,85.0
17,4241-5091,13.0
17,4241-5082,65.0
17,4241-5074,84.0
17,4241-5083,3.0
17,4241-5080,38.0
17,4241-5085,14.0
17,4241-5099,9.0
17,4241-5098,14.0
17,4241-5087,8.0
17,4241-5078,59.0
17,4241-80055,87.0
17,4241-5093,83.0
17,4241-5102,5.0
17,4241-91754,4.0
17,4241-6011,5.0
17,4241-5101,90.0
17,4241-5079,52.0
17,4241-5106,9.0
17,4241-5086,75.0
17,4241-5089,76.0
17,4241-5090,19.0
17,4241-5092,23.0
17,4241-79729,25.0
17,4241-5107,60.0
17,4241-5077,7.0
17,4241-81026,98.0
17,4241-5094,97.0
17,4241-5105,43.0
17,4241-79268,9.0
17,4241-79781,6.0
17,4241-5081,23.0
17,4241-5071,38.0
17,4241-5095,12.0
17,4241-5108,40.0
17,4241-5104,48.0
17,4241-5084,5.0
17,4241-5103,36.0
17,4241-78920,61.0
17,4241-92611,51.0
17,4241-5100,74.0
17,4241-5088,42.0
17,4241-88406,5.0
17,5180-10820,16.0
17,5180-89828,16.0
17,79205-78977,58.0
17,10970-92234,62.0
17,10970-78816,52.0
17,4510-6194,75.0
17,4510-6196,95.0
17,4510-6197,64.0
17,4510-6195,81.0
17,4462-5968,87.0
17,4462-5971,72.0
17,79024-79509,93.0
17,4209-4857,58.0
17,4209-4858,63.0
17,4209-4860,34.0
17,4209-4856,53.0
17,4369-5566,98.0
17,79866-79884,82.0
17,4186-4796,67.0
17,4283-80419,75.0
17,4283-79265,51.0
17,4283-5423,73.0
17,4283-5418,87.0
17,4283-5422,57.0
17,4283-5421,50.0
17,4283-5417,85.0
17,4283-79800,60.0
17,4283-79642,63.0
17,4283-80418,66.0
17,4283-5420,76.0
17,4283-80417,80.0
17,92972-126443,95.0
17,4237-4994,73.0
17,4237-5006,30.0
17,4237-90400,32.0
17,4237-5014,41.0
17,4237-5007,46.0
17,4237-5016,34.0
17,4237-5012,70.0
17,4237-4997,41.0
17,4237-4999,57.0
17,4237-79223,72.0
17,4237-79222,18.0
17,4237-5011,33.0
17,4237-4995,69.0
17,4237-5001,52.0
