year,mergecode,districtcode,black,hispanic,white,totalenroll,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,state,year_21
19,4407-6288arizona,4407arizona,0.0,91.98,0.0,262,76.0,13.68,40817000153,0.0,0.0,1.0,0.0,0,arizona,0
21,4407-6288arizona,4407arizona,0.0,91.43,0.0,245,79.0,28.13,40817000153,0.4,0.6,0.0,0.8,0,arizona,1
17,4407-5827arizona,4407arizona,1.11,93.44,2.82,2163,74.0,5.92,40817000743,0.0,0.0,1.0,0.0,0,arizona,0
18,4407-5827arizona,4407arizona,1.35,93.43,2.32,2069,72.0,3.75,40817000743,0.0,0.0,1.0,0.0,0,arizona,0
19,4407-5827arizona,4407arizona,1.39,94.41,1.74,2238,76.0,4.91,40817000743,0.0,0.0,1.0,0.0,0,arizona,0
21,4407-5827arizona,4407arizona,1.51,92.74,2.69,2191,76.0,5.56,40817000743,0.4,0.6,0.0,0.8,0,arizona,1
17,4440-5907arizona,4440arizona,0.0,85.85,10.38,106,62.0,2.48,40823000760,0.0,0.0,1.0,0.0,0,arizona,0
18,4440-5907arizona,4440arizona,0.0,83.05,12.99,177,98.0,4.04,40823000760,0.0,0.0,1.0,0.0,0,arizona,0
19,4440-5907arizona,4440arizona,0.0,82.49,12.99,177,57.0,2.46,40823000760,0.0,0.0,1.0,0.0,0,arizona,0
21,4440-5907arizona,4440arizona,0.0,79.75,17.79,163,57.0,10.05,40823000760,0.4,0.6,0.0,0.8,0,arizona,1
17,4287-5450arizona,4287arizona,15.1,55.69,12.62,404,52.0,17.13,40834001576,0.0,0.0,1.0,0.0,0,arizona,0
18,4287-5450arizona,4287arizona,15.45,48.48,19.09,330,60.0,24.27,40834001576,0.0,0.0,1.0,0.0,0,arizona,0
19,4287-5450arizona,4287arizona,18.64,49.82,14.34,279,48.0,20.5,40834001576,0.0,0.0,1.0,0.0,0,arizona,0
21,4287-5450arizona,4287arizona,11.42,55.25,14.61,219,34.0,26.55,40834001576,0.5,0.5,0.0,0.75,0,arizona,1
17,4287-5447arizona,4287arizona,5.7,21.2,57.59,2773,12.0,0.97,40834000790,0.0,0.0,1.0,0.0,0,arizona,0
18,4287-5447arizona,4287arizona,6.42,22.03,56.64,2724,13.0,0.6,40834000790,0.0,0.0,1.0,0.0,0,arizona,0
19,4287-5447arizona,4287arizona,6.0,24.3,55.72,2683,13.0,1.15,40834000790,0.0,0.0,1.0,0.0,0,arizona,0
