year,mergecode,mathpass,elapass,totaltest,totalenroll,white,black,hispanic,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,districtcode,state,year_21
17,500821890220043,2.0,3.1,305,1289,0.5,98.1,0.9,98.0,2.9,171332004975,0.0,0.0,1.0,0.0,50082189022il,il,0
18,500821890220043,1.2,2.4,243,1235,0.0,98.1,0.9,92.1,2.6,171332004975,0.0,0.0,1.0,0.0,50082189022il,il,0
19,500821890220043,1.1,5.4,294,1089,0.8,98.1,0.6,97.2,9.9,171332004975,0.0,0.0,1.0,0.0,50082189022il,il,0
21,500821890220043,0.0,1.4,212,1170,0.0,97.9,0.9,99.5,5.8,171332004975,1.0,0.0,0.0,0.5,50082189022il,il,1
17,500821960260001,15.9,22.2,63,281,88.6,4.3,2.8,50.5,2.1,171272001527,0.0,0.0,1.0,0.0,50082196026il,il,0
18,500821960260001,21.5,15.4,65,278,88.5,0.0,0.0,52.2,5.4,171272001527,0.0,0.0,1.0,0.0,50082196026il,il,0
19,500821960260001,25.0,20.0,61,264,88.3,2.3,2.3,51.5,9.5,171272001527,0.0,0.0,1.0,0.0,50082196026il,il,0
21,500821960260001,13.8,10.3,58,262,82.8,0.0,0.0,57.6,4.7,171272001527,0.8,0.0,0.2,0.4,50082196026il,il,1
17,500822010170001,30.4,35.1,624,2557,46.1,39.9,4.7,41.6,0.7,170564000242,0.0,0.0,1.0,0.0,50082201017il,il,0
18,500822010170001,28.8,35.1,566,2476,45.0,40.8,4.6,43.3,0.6,170564000242,0.0,0.0,1.0,0.0,50082201017il,il,0
19,500822010170001,32.8,33.3,617,2392,46.3,40.1,4.7,44.5,4.8,170564000242,0.0,0.0,1.0,0.0,50082201017il,il,0
21,500822010170001,23.2,29.8,540,2414,44.5,43.4,5.1,43.5,2.3,170564000242,0.8,0.2,0.0,0.6,50082201017il,il,1
17,500822010170002,29.5,34.4,478,2157,53.1,37.1,3.2,47.2,0.3,170564000243,0.0,0.0,1.0,0.0,50082201017il,il,0
18,500822010170002,28.8,31.8,478,2068,52.4,38.3,4.1,49.4,0.2,170564000243,0.0,0.0,1.0,0.0,50082201017il,il,0
19,500822010170002,26.1,27.8,529,2159,52.3,38.8,3.9,49.1,3.9,170564000243,0.0,0.0,1.0,0.0,50082201017il,il,0
21,500822010170002,18.8,25.8,548,2127,49.7,41.5,4.2,50.2,2.4,170564000243,0.8,0.2,0.0,0.6,50082201017il,il,1
17,500822030170001,49.0,54.5,585,2405,64.7,19.6,5.0,24.4,0.9,172979003090,0.0,0.0,1.0,0.0,50082203017il,il,0
18,500822030170001,49.4,50.0,543,2409,65.7,18.6,5.4,21.7,1.2,172979003090,0.0,0.0,1.0,0.0,50082203017il,il,0
19,500822030170001,54.7,53.3,587,2401,64.8,19.3,5.6,23.6,2.2,172979003090,0.0,0.0,1.0,0.0,50082203017il,il,0
21,500822030170001,32.3,40.0,602,2479,62.6,20.4,6.6,20.5,2.5,172979003090,0.8,0.2,0.0,0.6,50082203017il,il,1
17,510652020260001,28.4,25.9,235,487,94.3,0.6,0.6,35.1,0.0,173141003313,0.0,0.0,1.0,0.0,51065202026il,il,0
18,510652020260001,16.4,26.9,67,479,94.6,0.0,0.0,41.3,0.0,173141003313,0.0,0.0,1.0,0.0,51065202026il,il,0
19,510652020260001,29.4,34.1,86,469,93.6,1.3,0.9,37.7,4.6,173141003313,0.0,0.0,1.0,0.0,51065202026il,il,0
21,510652020260001,25.4,36.4,55,413,94.4,0.0,0.0,33.4,3.5,173141003313,0.0,0.0,1.0,0.0,51065202026il,il,1
17,510652130260001,28.8,34.6,52,289,94.1,0.3,1.7,22.5,0.3,170447000131,0.0,0.0,1.0,0.0,51065213026il,il,0
18,510652130260001,40.3,41.6,77,303,94.7,0.0,0.0,27.7,0.0,170447000131,0.0,0.0,1.0,0.0,51065213026il,il,0
